date,hotel,is_canceled,adr,stays_in_weekend_nights,stays_in_week_nights,market_segment,country,lead_time,revenue
2015-07-01,Resort Hotel,0,0.0,0,0,Direct,PRT,342,0.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,1,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,76.5,1,4,Online TA,PRT,181,382.5
2015-07-01,City Hotel,1,76.5,0,2,Online TA,PRT,181,153.0
2015-07-01,City Hotel,1,76.5,0,2,Online TA,PRT,181,153.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,80.0,0,2,Offline TA/TO,PRT,257,160.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,76.5,1,4,Online TA,PRT,181,382.5
2015-07-01,City Hotel,0,111.5,1,4,Online TA,PRT,181,557.5
2015-07-01,City Hotel,1,76.5,2,4,Online TA,PRT,92,459.0
2015-07-01,City Hotel,1,68.0,0,4,Online TA,PRT,65,272.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,1,76.5,0,4,Online TA,PRT,88,306.0
2015-07-01,Resort Hotel,0,69.6,2,5,Offline TA/TO,IRL,149,487.19999999999993
2015-07-01,Resort Hotel,0,55.68,2,5,Offline TA/TO,IRL,149,389.76
2015-07-01,Resort Hotel,0,82.35,2,5,Offline TA/TO,GBR,145,576.4499999999999
2015-07-01,Resort Hotel,0,79.59,1,4,Offline TA/TO,ESP,110,397.95000000000005
2015-07-01,Resort Hotel,0,62.5,0,4,Offline TA/TO,IRL,126,250.0
2015-07-01,Resort Hotel,0,153.0,0,4,Online TA,PRT,181,612.0
2015-07-01,Resort Hotel,0,134.0,0,1,Corporate,PRT,1,134.0
2015-07-01,Resort Hotel,0,4.0,0,1,Online TA,0,2,4.0
2015-07-01,City Hotel,0,0.0,0,2,Offline TA/TO,PRT,6,0.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,City Hotel,0,101.5,0,2,Offline TA/TO,PRT,257,203.0
2015-07-01,Resort Hotel,0,134.0,0,1,Corporate,0,4,134.0
2015-07-01,Resort Hotel,0,80.0,4,10,Direct,0,118,1120.0
2015-07-01,Resort Hotel,0,62.0,4,10,Direct,0,118,868.0
2015-07-01,Resort Hotel,0,97.0,0,4,Online TA,USA,68,388.0
2015-07-01,Resort Hotel,0,145.0,0,4,Online TA,PRT,35,580.0
2015-07-01,Resort Hotel,1,123.0,0,4,Online TA,PRT,23,492.0
2015-07-01,Resort Hotel,1,105.5,0,3,Offline TA/TO,PRT,75,316.5
2015-07-01,Resort Hotel,0,94.0,2,5,Online TA,PRT,77,658.0
2015-07-01,Resort Hotel,0,87.3,2,5,Online TA,PRT,99,611.1
2015-07-01,Resort Hotel,0,63.6,2,5,Offline TA/TO,PRT,78,445.2
2015-07-01,Resort Hotel,0,63.86,4,11,Offline TA/TO,GBR,95,957.9
2015-07-01,Resort Hotel,1,108.3,2,8,Direct,PRT,96,1083.0
2015-07-01,Resort Hotel,0,94.95,2,5,Offline TA/TO,GBR,127,664.65
2015-07-01,Resort Hotel,0,99.67,2,4,Direct,PRT,72,598.02
2015-07-01,Resort Hotel,0,84.67,2,4,Direct,PRT,72,508.02
2015-07-01,Resort Hotel,0,84.67,2,4,Direct,PRT,72,508.02
2015-07-01,Resort Hotel,0,97.29,1,4,Online TA,GBR,37,486.45000000000005
2015-07-01,Resort Hotel,1,107.0,2,5,Online TA,PRT,60,749.0
2015-07-01,Resort Hotel,1,82.0,0,3,Online TA,PRT,85,246.0
2015-07-01,Resort Hotel,0,153.0,0,4,Direct,GBR,7,612.0
2015-07-01,Resort Hotel,0,107.0,0,2,Direct,PRT,0,214.0
2015-07-01,Resort Hotel,0,98.0,0,2,Online TA,GBR,14,196.0
2015-07-01,Resort Hotel,0,107.42,0,1,Corporate,FRA,0,107.42
2015-07-01,Resort Hotel,0,98.0,0,2,Online TA,GBR,14,196.0
2015-07-01,Resort Hotel,0,75.0,0,1,Corporate,GBR,13,75.0
2015-07-01,Resort Hotel,0,88.2,0,1,Online TA,IRL,12,88.2
2015-07-01,Resort Hotel,0,97.5,0,4,Offline TA/TO,PRT,37,390.0
2015-07-01,Resort Hotel,0,75.0,0,1,Direct,GBR,7,75.0
2015-07-01,Resort Hotel,0,97.0,0,4,Online TA,IRL,68,388.0
2015-07-01,Resort Hotel,0,94.71,0,4,Online TA,PRT,37,378.84
2015-07-01,Resort Hotel,0,154.77,0,4,Online TA,ESP,18,619.08
2015-07-01,Resort Hotel,0,0.0,0,0,Direct,PRT,737,0.0
2015-07-01,Resort Hotel,0,103.0,0,2,Direct,PRT,9,206.0
2015-07-01,Resort Hotel,0,79.5,2,5,Offline TA/TO,IRL,48,556.5
2015-07-02,Resort Hotel,1,136.33,0,3,Online TA,PRT,3,408.99
2015-07-02,City Hotel,1,76.5,0,3,Online TA,PRT,146,229.5
2015-07-02,Resort Hotel,0,58.95,0,3,Offline TA/TO,IRL,93,176.85000000000002
2015-07-02,Resort Hotel,0,133.0,0,3,Direct,ESP,17,399.0
2015-07-02,Resort Hotel,0,135.0,0,2,Online TA,IRL,5,270.0
2015-07-02,Resort Hotel,0,117.81,0,2,Online TA,PRT,10,235.62
2015-07-02,Resort Hotel,0,98.0,0,2,Online TA,USA,14,196.0
2015-07-02,Resort Hotel,0,123.0,0,1,Direct,PRT,0,123.0
2015-07-02,Resort Hotel,0,117.9,0,1,Online TA,PRT,0,117.9
2015-07-02,Resort Hotel,0,147.0,0,1,Direct,PRT,0,147.0
2015-07-02,Resort Hotel,0,107.0,0,1,Direct,ESP,1,107.0
2015-07-02,Resort Hotel,0,147.0,0,1,Online TA,ARG,1,147.0
2015-07-02,Resort Hotel,0,88.2,0,1,Online TA,ESP,3,88.2
2015-07-02,Resort Hotel,0,110.7,4,10,Offline TA/TO,OMN,76,1549.8
2015-07-02,Resort Hotel,0,56.01,3,8,Offline TA/TO,IRL,93,616.11
2015-07-02,City Hotel,1,76.5,2,5,Online TA,PRT,155,535.5
2015-07-02,City Hotel,1,76.5,1,3,Online TA,PRT,182,306.0
2015-07-02,City Hotel,1,62.0,0,2,Groups,PRT,258,124.0
2015-07-02,City Hotel,1,62.0,0,2,Groups,PRT,258,124.0
2015-07-02,City Hotel,1,62.8,0,2,Groups,PRT,258,125.6
2015-07-02,City Hotel,1,62.8,0,2,Groups,PRT,258,125.6
2015-07-02,City Hotel,1,62.8,0,2,Groups,PRT,258,125.6
2015-07-02,City Hotel,1,62.8,0,2,Groups,PRT,258,125.6
2015-07-02,City Hotel,1,62.8,0,2,Groups,PRT,258,125.6
