hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date_month_proper,date,revenue
Resort Hotel,0,342,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,0,Transient,0.0,0,0,Check-Out,01-07-2015,7,2015-07-01,0.0
City Hotel,0,257,2015,July,27,1,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.0,0,0,Check-Out,03-07-2015,7,2015-07-01,160.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.0,0,0,Check-Out,03-07-2015,7,2015-07-01,160.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,03-07-2015,7,2015-07-01,203.0
City Hotel,0,257,2015,July,27,1,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.0,0,0,Check-Out,03-07-2015,7,2015-07-01,160.0
City Hotel,0,257,2015,July,27,1,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.0,0,0,Check-Out,03-07-2015,7,2015-07-01,160.0
City Hotel,0,257,2015,July,27,1,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.0,0,0,Check-Out,03-07-2015,7,2015-07-01,160.0
City Hotel,1,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Canceled,16-06-2015,7,2015-07-01,203.0
City Hotel,1,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Canceled,16-06-2015,7,2015-07-01,203.0
City Hotel,1,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Canceled,16-06-2015,7,2015-07-01,203.0
City Hotel,1,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Canceled,16-06-2015,7,2015-07-01,203.0
City Hotel,1,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Canceled,16-06-2015,7,2015-07-01,203.0
City Hotel,1,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Canceled,16-06-2015,7,2015-07-01,203.0
City Hotel,1,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Canceled,16-06-2015,7,2015-07-01,203.0
City Hotel,1,181,2015,July,27,1,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,76.5,0,0,Canceled,17-06-2015,7,2015-07-01,382.5
City Hotel,1,181,2015,July,27,1,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,76.5,0,3,Canceled,17-06-2015,7,2015-07-01,153.0
City Hotel,1,181,2015,July,27,1,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,76.5,0,3,Canceled,17-06-2015,7,2015-07-01,153.0
City Hotel,0,257,2015,July,27,1,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.0,0,0,Check-Out,03-07-2015,7,2015-07-01,160.0
City Hotel,0,257,2015,July,27,1,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.0,0,0,Check-Out,03-07-2015,7,2015-07-01,160.0
